LOD entries,Base forms,Grammatical category
GROMPER1,Gromper,feminine noun
GROMPEREKICHELCHEN1,Gromperekichelchen,masculine noun
GRONDSCHOUL1,Grondschoul,feminine noun
GROUSS2,grouss,adjective
GROUSSELTEREN1,Grousselteren,noun
GROUSSHERZOG1,Groussherzog,masculine noun
GROUSSHERZOGIN1,Groussherzogin,feminine noun
GROUSSMAMM1,Groussmamm,feminine noun
GROUSSPAPP1,Grousspapp,masculine noun
GRUPP1,Grupp,masculine/feminine noun
GUER1,guer,adverb
GUTT2,gutt,adjective
HAAPTMOLZECHT1,Haaptmolzecht,feminine noun
HAAPTPLAT1,Haaptplat,masculine noun
HAAPTSTAD1,Haaptstad,feminine noun
HALLEF1,hallef,adjective
HALS1,Hals,masculine noun
HAM1,Ham,feminine noun
HAMBURGER1,Hamburger,masculine noun
HANDY1,Handy,masculine noun
HANDYSNUMMER1,Handysnummer,feminine noun
HAR2,Här,masculine noun
HARIN1,Härin,feminine noun
HAUT1,haut,adverb
HAUTDESDAAGS1,hautdesdaags,adverb
HEEMFUEREN1,heemfueren,verb
HEESCHEN1,heeschen,verb
HEI1,hei,adverb
HEIANSDO1,heiansdo,adverb
HELLEFEN1,hëllefen,verb
HERNO1,herno,adverb
HIERSCHT1,Hierscht,masculine noun
HOCHZAIT1,Hochzäit,feminine noun
HOER1,Hoer,neutral noun
HOND1,Hond,masculine noun
HOTEL1,Hotel,masculine noun
HOUSCHT1,Houscht,masculine noun
HOUSEKER1,Houseker,masculine noun
HUELEN1,huelen,verb
HUNN1,hunn,verb
HUNN3,hunn,auxiliary verb
HUNNEG1,Hunneg,masculine noun
IDDI1,Iddi,feminine noun
IESSEN3,iessen,verb
IESSGEWUNNECHT1,Iessgewunnecht,feminine noun
IMMENS1,immens,adjective
IMMENS2,immens,adverb
INFIRMIER1,Infirmier,masculine noun
INFIRMIERE1,Infirmière,feminine noun
INFORMATIKER1,Informatiker,masculine noun
INFORMATIKERIN1,Informatikerin,feminine noun
INFORMATIOUN1,Informatioun,feminine noun
INTERESSANT1,interessant,adjective
IWWERSETZER1,Iwwersetzer,masculine noun
IWWERSETZERIN1,Iwwersetzerin,feminine noun
JANUAR1,Januar,masculine noun
JO1,jo,particle
JOER1,Joer,neutral noun
JOFFER1,Joffer,feminine noun
JONG1,Jong,masculine noun
JONGGESELL1,Jonggesell,masculine noun
JONGGESELLIN1,Jonggesellin,feminine noun
JONK1,jonk,adjective
JORESZAIT1,Joreszäit,feminine noun
JOURNALIST1,Journalist,masculine noun
JOURNALISTIN1,Journalistin,feminine noun
JUGURT1,Jugurt,masculine noun
JULI1,Juli,masculine noun
JUNI1,Juni,masculine noun
JUS1,Jus,masculine noun
JUST2,just,adverb
KAART1,Kaart,feminine noun
KACH1,Kach,masculine noun
KACHEN1,Kächen,feminine noun
KACHEN2,kachen,verb
KACHIN1,Kächin,feminine noun
KACHKEIS1,Kachkéis,masculine noun
KADDO1,Kaddo,masculine noun
KAERZ1,Käerz,feminine noun
KAFEN1,kafen,verb
KAFFI1,Kaffi,masculine noun
KAFFIDRENKEN1,Kaffidrénken,neutral noun
KAL1,kal,adjective
KAMELL1,Kamell,feminine noun
KAND1,Kand,neutral noun
KANNAPEE1,Kannapee,masculine noun
KANTIN1,Kantin,feminine noun
KAPP1,Kapp,masculine noun
KASCHTEN2,kaschten,verb
KAZ1,Kaz,feminine noun
KEEN1,keen,indefinite pronoun
KEESS1,Keess,feminine noun
KEESSJEE1,Keessjee,masculine noun
KEIER1,Kéier,feminine noun
KEIS1,Kéis,masculine noun
KENG3,keng,indefinite pronoun
KENNEN1,kënnen,modal verb
KENNEN3,kënnen,verb
KETCHUP1,Ketchup,masculine noun
KICHELCHEN1,Kichelchen,masculine noun
KIERMES1,Kiermes,feminine noun
KIISCHT1,Kiischt,feminine noun
KILO1,Kilo,masculine noun
KINO1,Kino,masculine noun
KIWI1,Kiwi,masculine/feminine noun
KLEESCHEN2,Kleeschen,masculine noun
KLEESERCHERSDAG1,Kleeserchersdag,masculine noun
KLENG1,kleng,adjective
KLINICK1,Klinick,feminine noun
KNATSCH1,Knätsch,masculine noun
KOMMEN1,kommen,verb
KOMPLETT1,komplett,adjective
KOMPLIZEIERT1,komplizéiert,adjective
KONTAKT1,Kontakt,masculine noun
KONTROLLEIEREN1,kontrolléieren,verb
KONVENIAT1,Konveniat,masculine noun
KOPPEL1,Koppel,feminine noun
KORNISCHONG1,Kornischong,feminine noun
KOSENG1,Koseng,masculine noun
KRANK1,krank,adjective
KRAUT1,Kraut,neutral noun
KREIEN2,kréien,verb
KUCH1,Kuch,masculine noun
KUCKEN1,kucken,verb
KUERZ1,kuerz,adjective
KURBIS1,Kürbis,masculine noun
KUSIN1,Kusin,feminine noun
KUSS1,Kuss,masculine noun
LAANG1,laang,adjective
LAFEN1,lafen,verb
LAFFEL1,Läffel,masculine noun
LAMPION1,Lampion,masculine noun
LANGWEILEG1,langweileg,adjective
LAUSCHTEREN1,lauschteren,verb
LEIEN2,leien,verb
LEIEREN2,léieren,verb
LEIERJONG1,Léierjong,masculine noun
LEIERMEEDCHEN1,Léiermeedchen,neutral noun
LEIF2,léif,adjective
LEIT1,Leit,noun
LEIWER1,léiwer,adverb
LETZEBUERGER2,Lëtzebuerger,unmodifiable adjective
LETZEBUERGESCH1,lëtzebuergesch,adjective
LETZEBUERGESCH2,Lëtzebuergesch,neutral noun
LIBLINGSIESSEN1,Liblingsiessen,neutral noun
LIBRAIRIE1,Librairie,feminine noun
LIDD1,Lidd,neutral noun
LIESEN1,liesen,verb
LIICHT1,liicht,adjective
LIICHTEN1,liichten,verb
LIICHTMESSDAG1,Liichtmëssdag,masculine noun
LITER1,Liter,masculine noun
LOFT1,Loft,feminine noun
LOFTBALLON1,Loftballon,masculine noun
LUES1,lues,adjective
LUTSCH1,Lutsch,feminine noun
LYCEE1,Lycée,masculine noun
MA1,mä,conjunction
MAACHEN1,maachen,verb
MAART1,Maart,masculine noun
MADAME1,Madame,feminine noun
